"HolderAddress","Balance","PendingBalanceUpdate"
"0x00d6e10aa6675906fe8eebf7dfb35fe2e7204c98","10373.44","No"
"0x00fcb6f244c45a4e6baa812ddee0bdb7996518bd","10000","No"
"0x021caac18a1e23445fca94cd2939e0c57d6ebd93","10000","No"
"0x02bdacb2c3baa8a12d3957f3bd8637d6d2b35f10","23727.33","No"
"0x033eaaf49fd5d436af9fcafc395e6b3904ce24b1","11063.86","No"
"0x0366f4d9220e75ff058b9129968755eebd25b616","22414.86","No"
"0x0451ed63b8046358e3c12f8b1be738fabab97011","10511.52","No"
"0x05467ecea464e1704c3fd142ef9ba816ba7a7088","10138.08","No"
"0x05b3b86ad8d43a45b0ff1b3d4612861679cd22fc","10373.44","No"
"0x06c92c698da20615c69b403a19e506819d375cb2","1795.08","No"
"0x06edc5c39ac366a938b896ab658369894ab8d126","10373.44","No"
"0x07670dd0d0d00ed6ec47cd4073c7ad5ddda32405","10373.44","No"
"0x07cab111f1d78ae57532251425d863d8e486551d","828.5","No"
"0x0804b9945cb51b298b396779083628bae7aeeb6e","11340.02","No"
"0x081b01494f482cc015065d52d723461cd3f96817","56507.2885380117","No"
"0x081d84829b1b8f8a46cce0392c524604ee785508","17708176.8","No"
"0x09a0eae4d588bed199924767987432c519287806","10000","No"
"0x0bdf49fa55e054a120ce4c12faae505e49333cee","10373.44","No"
"0x0c9dc6754c342638ad7b1a699dbeb94cf2d209b8","10000","No"
"0x0ca2521d525d8ea40b2abcaed3d6a4a76813208c","10373.44","No"
"0x0d48774f178e38645187a2a8ab3c940fb20a27c4","10373.44","No"
"0x0dfba97358fb64408e9e08e0275412ead0768f78","11489.08","No"
"0x0e488e4a23cd8c67362aa716b5a2d45a9cf65815","12030.44","No"
"0x0eb62fdc305b7840f82de6144a104f04ac745a69","138.08","No"
"0x100a4b6f7fcee5ab8a295c6dbd8261c013a90b50","10000","No"
"0x10b61f37fea018dbe66d4d5efaf00513ebd32c6f","2347.42","No"
"0x11a2b1635bfa00bf32853882fa7d2ef7209d143c","10373.44","No"
"0x11b61e809e3b68dc97818b1bc99fec3e7790a017","10373.44","No"
"0x11fdd8cfd6fb50b8f4d36b1f22378b06cd45851a","138.08","No"
"0x12c974f62687f9bcb32fea806ef8cd7fcb1feb67","17164.08","No"
"0x130a45edef71e58fc585aa65e0bf13064cb5a25f","1518.92","No"
"0x1377a46f33f1b2835b086a68f3a68ac461559ca1","106005.28","No"
"0x13993699c83124bd53737a9c132b055a366d6f03","138.08","No"
"0x154d73802a6b3324c017481ac818050afe4a0b0a","3866.34","No"
"0x1553dcc4e3099ad85673e3338fd8037282eba5f5","10373.44","No"
"0x16a9f795fa63b38f09a2373793199c16ef019c38","4280.59","No"
"0x16d56fa9b31479315a05b0b31f83d88f5f8ca6e4","60649.61","No"
"0x170d32fa0872011c4f9879033534ef8cec0758e8","54880.51","No"
"0x17899d397480c1891c5d924469aa603623a1645a","10000","No"
"0x17f7b0cd0711b57ec8462609af75c642327a364f","10511.52","No"
"0x1902a2f671a758cac0fe422f061e3e6ba00ff7db","10000","No"
"0x19b6dc4b956924db9247ce2e1dc1bd9b0360f98c","10373.44","No"
"0x1a82664a45cb5cc11cae2f2b3585b0d52e24b99e","10373.44","No"
"0x1ac61682528cc4dcddff97185001ffbd30504a39","10373.44","No"
"0x1ad37a71e445562ce1a8d57a90facf5a4bb4d0c4","138.08","No"
"0x1b0bbc4acc7497dc6105c29db7176a44e887be23","10373.44","No"
"0x1ce03f7be45d4296497aba54312791a92e2f60b3","13596.69","No"
"0x1dcd8763c01961c2bbb5ed58c6e51f55b1378589","17553.78","No"
"0x1fccf8c2513be85c9f02e0b953d06cfebac5ca4c","10000","No"
"0x2169f40ee231a088979a44616daff5d1b1853266","10373.44","No"
"0x216f927a2f13ce1ab8ea00d6377dcd51ce2e6f23","50373.44","No"
"0x227b6008ae04718aa821e57d04d8337799cdfdb2","10373.44","No"
"0x22a9126781f22664856ce197dd2ffa4d2e8d2594","10373.44","No"
"0x2363643a1bf43fe9d8fbc0630c706003b4e062bf","10373.44","No"
"0x24f5ae2c6d4b9a4421af483565e6ecf23fbdddd8","10373.44","No"
"0x2527f13ba7b1d8594365d8af829cdcc4fe445098","828.5","No"
"0x26b1fb844799fb53b505be2ba7df057c5c899014","17968.03","No"
"0x26f781d7f59c67bbd16aced83db4ba90d1e47689","10414.25","No"
"0x28b647529ea3cce066a4dd5ab9a3326de26938db","10138.08","No"
"0x28d5159c0f1b616bb70c5299f34630d88821da5e","414.25","No"
"0x29925509a8ecec0a57ef8c111ac2649941274115","10373.44","No"
"0x2a9ada6e8b56192101227366852357b54c93482b","15000","No"
"0x2b5bf359827d89a1af72444241357cee6ebad2cf","10373.44","No"
"0x2cbba6aff41f9212c4a344041ca646335a1fabd2","11063.86","No"
"0x2f04fd2227af438c91a5f59e903c60a502c7e494","552.33","No"
"0x2fbea2829b51ff4c5f202beae970075847baaba4","14867.44","No"
"0x301fe873b310cedd03bc6ebb0e604923ea1f6430","276.17","No"
"0x31d41555e1c68bac763eaa2590f0df8107e98745","10511.52","No"
"0x33c67e933866025d22e011064d6bf4889828c3a3","10373.44","No"
"0x34bea8a0729adb963a95e5a00c691729c098b2a7","10373.44","No"
"0x34f2708fa4e1237472d72e2963320c3e83cce4f1","10373.44","No"
"0x34f2ab6c274afab5abbc8bd0f6f4f361d7e1933f","10000","No"
"0x350e6251722400daba2eb4e6fd873631a4f81be8","10373.44","No"
"0x3a48fa53148ee4aba0112db0345e0b3f29f594d1","40269.36","No"
"0x3a6ad2a8cf2640e8be8048a270da3922158ba15d","10373.44","No"
"0x3a958ef7d3dc7a0f7c98ba139359ee5c30253fbf","10138.08","No"
"0x3bb88ad1f94db79714aa103589d94f4f9530fa55","10373.44","No"
"0x3bf855231bfd9ec5e0a4e5b2eb4878fcec0b0638","10000","No"
"0x3c2e7c9dd56225d3cc40fb863f9922fc73c399ae","10373.44","No"
"0x3c75fb4a018c900213f0b826b4e2a0e2fa3ef3f7","10373.44","No"
"0x3d045d28e9856c98af1db4de87ca719ed525853a","10373.44","No"
"0x4003ec66153c090ed649ce822e30caba11727527","13320.52","No"
"0x400fe630c9f32773504c102910918d0e6c47f3fa","38888.52","No"
"0x4030e17a655bdeaec42cc70da65e3d5ba5fe0e48","11063.86","No"
"0x404c99ad195f2a3704dbb29a2c383b50fde8707a","10373.44","No"
"0x4079d0a200129baeead1a12ac1c8641f1439a152","16186.52","No"
"0x4312bd27ec7c6e758c6900ac34116d4f53a7e259","414.25","No"
"0x438b5e448a9e34e67794fcce2545dea4660a69c6","22552.94","No"
"0x444ac4ca744ad09fad432e090827485eea906df4","138.08","No"
"0x4478e296bddf0abd709d0597445d18f455e86a05","10373.44","No"
"0x454efe906cf378ea6674c8292fd7142948192a3d","10000","No"
"0x4558e88c5a972244c995ae4dd95a84fc790355f9","144744.33","No"
"0x475f007f6ca3317d65a4ce73397ee80054ff7f50","10000","No"
"0x483cdc51a29df38adec82e1bb3f0ae197142a351","138.08","No"
"0x488563a80e9f555e12c75818f8ce8a353e3cf2e7","10373.44","No"
"0x4977a4b74d3a81db4c462d9073e10796d0cee333","53872.86","No"
"0x49eaf026e6c59aacfbf00699d3fa92db304e2237","17553.78","No"
"0x4a5d199ec63ec39dce7e752baabe23ac8ff7cb72","3037.83","No"
"0x4a65b32f708a8624777fce3557d76b5067972996","10000","No"
"0x4b20437176640d0b3e6c9ae3de93e2b55b761c32","10511.52","No"
"0x4b56bcc5a846dbcbe8195ae3f69380b9ad0aa508","105890.18","No"
